Index Code,Module,Type,File Name,QA Status
P0.M1.DT01,1,DT,P0_M1_DT01_GlobalFoodProduction.csv,✅ PASS
P0.M1.DT02,1,DT,P0_M1_DT02_TopCommoditiesByWeight.csv,✅ PASS
P0.M1.DT03,1,DT,P0_M1_DT03_TopCommoditiesByCalories.csv,✅ PASS
P0.M1.DT04,1,DT,P0_M1_DT04_RegionalProductionPatterns.csv,✅ PASS
P0.M1.DT05,1,DT,P0_M1_DT05_CropAllocationToFeed.csv,✅ PASS
P0.M1.FG02,1,FG,P0_M1_FG02_PlantVsAnimalProduction.svg,✅ PASS
P0.M1.FG03,1,FG,P0_M1_FG03_RegionalFoodProduction.svg,✅ PASS
P0.M1.TX01,1,TX,P0_M1_TX01_GlobalFoodProductionOverview.txt,✅ PASS
P0.M2.DT01,2,DT,P0_M2_DT01_FoodLossWasteByStageRegionCommodity.csv,✅ PASS
P0.M2.DT02,2,DT,P0_M2_DT02_FoodLossByGroupAndStage.csv,✅ PASS
P0.M2.FG01,2,FG,P0_M2_FG01_FoodLossWasteByStage.svg,✅ PASS
P0.M2.FG02,2,FG,P0_M2_FG02_RegionalFoodLossWasteByStage.svg,✅ PASS
P0.M2.TX01,2,TX,P0_M2_TX01_FoodLossWasteSynthesis.txt,✅ PASS
P0.M3.DT01,3,DT,P0_M3_DT01_GlobalLandUseByCategory.csv,✅ PASS
P0.M3.DT02,3,DT,P0_M3_DT02_WaterNitrogenUseInAgriculture.csv,✅ PASS
P0.M3.FG01,3,FG,P0_M3_FG01_ResourceUsePlantVsAnimal.svg,✅ PASS
P0.M3.TX01,3,TX,P0_M3_TX01_LandWaterNutrientUseSynthesis.txt,✅ PASS
P0.M4.DT01,4,DT,P0_M4_DT01_GlobalFoodTradeFlows.csv,✅ PASS
P0.M4.DT02,4,DT,P0_M4_DT02_AgriculturalSubsidyStructures.csv,✅ PASS
P0.M4.FG01,4,FG,P0_M4_FG01_FoodTradeNetwork.svg,✅ PASS
P0.M4.TX01,4,TX,P0_M4_TX01_EconomicStructureFoodSystem.txt,✅ PASS
P0.M5.DT01,5,DT,P0_M5_DT01_GlobalReligiousDietaryNorms.csv,✅ PASS
P0.M5.DT02,5,DT,P0_M5_DT02_NationalFoodRegimes.csv,✅ PASS
P0.M5.DT03,5,DT,P0_M5_DT03_AnimalAgriLobbyActors.csv,✅ PASS
P0.M5.FG01,5,FG,P0_M5_FG01_DietaryResistanceMap.svg,✅ PASS
P0.M5.TX01,5,TX,P0_M5_TX01_CulturalPoliticalConstraints.txt,✅ PASS
P0.M6.DT01,6,DT,P0_M6_DT01_GlobalFoodSystemBaseline.csv,✅ PASS
P0.M6.FG01,6,FG,P0_M6_FG01_FoodSystemSankey.svg,✅ PASS
P0.M6.TX01,6,TX,P0_M6_TX01_GlobalFoodSystemSynthesis.txt,✅ PASS
P0.M6.TX02,6,TX,P0_M6_TX02_HistoricalEvolutionFoodSystem.txt,✅ PASS
P0.M1.DT06,1,DT,P0_M1_DT06_FeedToFoodConversion.csv,✅ PASS
P0.M4.DT03,4,DT,P0_M4_DT03_ExportDependencies.csv,✅ PASS
P0.M2.DT03,2,DT,P0_M2_DT03_FoodWasteByIncome.csv,✅ PASS
P0.M2.TX02,2,TX,P0_M2_TX02_IncomeLevelFoodWaste.txt,✅ PASS
P0.M7.DT01,7,DT,P0_M7_DT01_CurrentGlobalMicronutrientDeficiencies.csv,✅ PASS
P0.M7.TX01,7,TX,P0_M7_TX01_DeficiencyBaselineInterpretation.txt,✅ PASS
P0.M8.DT01,8,DT,P0_M8_DT01_CaloricAndProteinUndernourishment.csv,✅ PASS
P0.M8.TX01,8,TX,P0_M8_TX01_GlobalUndernourishmentInterpretation.txt,✅ PASS
